category,avg_prompt_length,chunk_size,num_requests,avg_ttft_s,p50_ttft_s,p95_ttft_s,avg_latency_s,p50_latency_s,p95_latency_s,throughput_tok_s,gpu_occupancy,total_steps,total_chunks,total_tokens,total_time_s
short,49,0,16,0.163856,0.163854,0.163869,0.203377,0.204132,0.207252,1137.8,0.9999,20,0,236,0.207418
short,49,64,16,0.086377,0.085764,0.155847,0.202583,0.203345,0.206781,1140.03,0.9998,20,16,236,0.207012
short,49,128,16,0.086505,0.085908,0.155888,0.203851,0.204572,0.207786,1134.66,0.9999,20,16,236,0.207991
short,49,256,16,0.086619,0.086071,0.155912,0.203755,0.204501,0.207811,1134.32,0.9999,20,16,236,0.208055
short,49,512,16,0.087413,0.086828,0.156775,0.203809,0.204654,0.207851,1134.37,0.9999,20,16,236,0.208044
medium,396,0,16,1.278258,1.278262,1.278271,1.371555,1.37357,1.383661,404.59,1.0,48,0,560,1.384111
medium,396,64,16,1.141601,1.209539,1.293102,1.388841,1.39063,1.400963,399.61,1.0,54,107,560,1.401373
medium,396,128,16,1.119157,1.189246,1.274686,1.380896,1.38266,1.393499,401.74,1.0,51,58,560,1.393933
medium,396,256,16,1.044903,1.04069,1.251785,1.377923,1.37986,1.390536,402.59,1.0,49,32,560,1.390996
medium,396,512,16,0.659258,0.655003,1.21178,1.373878,1.375961,1.386135,403.88,1.0,48,16,560,1.386543
long,1588,0,16,5.109527,5.109519,5.109546,5.259688,5.262693,5.279717,167.78,1.0,77,0,886,5.280816
long,1588,64,16,4.63978,4.974739,5.153895,5.315865,5.320012,5.337829,165.97,1.0,104,406,886,5.338172
long,1588,128,16,4.572698,4.915928,5.125364,5.283066,5.286654,5.303321,167.04,1.0,90,206,886,5.304029
long,1588,256,16,4.517456,4.787201,5.11626,5.272651,5.275556,5.292609,167.38,1.0,83,107,886,5.29341
long,1588,512,16,4.450604,4.729084,5.070808,5.265248,5.268296,5.285384,167.6,1.0,80,58,886,5.286444
