request_id,prompt_length,max_new_tokens,generated_tokens,ttft,tpot,latency,queue_wait,priority
15,27,5,5,0.09615349769592285,0.0035425424575805664,0.11032366752624512,0.0024569034576416016,0
6,37,6,6,0.09630441665649414,0.0031607627868652345,0.11210823059082031,0.0019040107727050781,0
7,11,7,7,0.09629511833190918,0.0033490657806396484,0.11638951301574707,0.0019724369049072266,0
0,50,8,8,0.0964202880859375,0.0031085354941231863,0.1181800365447998,0.0014736652374267578,0
3,18,8,8,0.0963900089263916,0.0031085354941231863,0.1181497573852539,0.001708984375,0
16,58,10,10,0.09614849090576172,0.002822054757012261,0.12154698371887207,0.002781391143798828,0
19,19,11,11,0.09541869163513184,0.002693653106689453,0.12235522270202637,0.0027267932891845703,0
2,25,12,12,0.09639501571655273,0.0025792338631369853,0.12476658821105957,0.0016331672668457031,0
8,23,12,12,0.09628963470458984,0.0025792338631369853,0.12466120719909668,0.0020453929901123047,0
13,36,12,12,0.09616827964782715,0.0025792338631369853,0.12453985214233398,0.002317667007446289,0
1,11,13,13,0.09640192985534668,0.002491613229115804,0.12630128860473633,0.0015528202056884766,0
18,31,13,13,0.09542393684387207,0.002491613229115804,0.12532329559326172,0.0023965835571289062,0
17,54,18,18,0.09543418884277344,0.0021891313440659467,0.13264942169189453,0.002290010452270508,0
4,53,22,22,0.09638476371765137,0.0020160902114141556,0.13872265815734863,0.0017879009246826172,0
10,11,22,22,0.09628105163574219,0.0020160902114141556,0.13861894607543945,0.0021944046020507812,0
12,54,22,22,0.0962059497833252,0.0020160902114141556,0.13854384422302246,0.002276897430419922,0
5,15,23,23,0.09634160995483398,0.001982125368985263,0.13994836807250977,0.0018532276153564453,0
14,38,23,23,0.09615850448608398,0.001982125368985263,0.13976526260375977,0.002386331558227539,0
9,42,24,24,0.09628486633300781,0.0019432047139043393,0.14097857475280762,0.0021207332611083984,0
11,22,25,25,0.09621620178222656,0.0019041597843170166,0.14191603660583496,0.002206563949584961,0
